cycle,start,end,trade_count,long_count,short_count,total_pnl,avg_pnl,win_rate,avg_leverage,max_leverage
COVID_Recovery,2020-05-01,2020-10-01,207,149,58,443.192191,2.1410250772946857,0.2946859903381642,3.7506592574326407,29.377620838548985
Bull_Run,2020-10-01,2021-04-01,465,340,125,4048.270012,8.705957015053764,0.2817204301075269,1.8349986582419688,18.045948569076323
Top_Range,2021-04-01,2021-11-01,189,135,54,2123.8648810000004,11.237380322751324,0.4126984126984127,0.8447858582627691,3.569938229981513
Bear_Market,2021-11-01,2022-11-01,226,144,82,1092.2408420000002,4.832924079646018,0.3893805309734513,0.9975049670714357,6.273018670194678
Bottom_Recovery,2022-11-01,2023-12-01,249,171,78,879.0359169999999,3.5302647269076304,0.36947791164658633,2.1147092069414426,15.072652567660452
ETF_Bull,2023-12-01,2024-04-01,20,7,13,15.676619000000017,0.7838309500000008,0.55,1.2886870951072622,3.8809145803163076
New_Cycle,2024-04-01,2026-08-01,33,19,14,1678.5121199999999,50.864003636363634,0.7272727272727273,1.037707489578943,3.96901669730473
